"Anno","Provincia","Euro","AL","BE","BG","BM","EL","GA","GG","IB","IG","ME","ND","Totale"
"2020","TORINO","EURO 0","22","86.752","5.865","166","0","12.652","0","0","0","7","20","105.484"
"2020","TORINO","EURO 1","0","18.958","1.739","44","0","3.491","0","0","0","2","0","24.234"
"2020","TORINO","EURO 2","0","70.835","5.769","126","0","16.047","0","0","0","6","0","92.783"
"2020","TORINO","EURO 3","2","86.062","5.075","526","0","57.820","0","0","0","14","1","149.500"
"2020","TORINO","EURO 4","0","179.971","51.228","11.656","0","126.406","0","227","0","237","0","369.725"
"2020","TORINO","EURO 5","3","87.079","35.303","4.142","0","128.043","0","1.614","69","435","0","256.688"
"2020","TORINO","EURO 6","1","195.732","68.595","4.077","0","158.697","0","23.129","1.068","1.101","0","452.400"
"2020","TORINO","NC","0","0","0","0","2.541","0","0","0","0","0","0","2.541"
"2020","TORINO","ND","0","595","4","1","0","3","0","0","0","0","13","616"
"2020","Totale Provincia","","28","725.984","173.578","20.738","2.541","503.159","0","24.970","1.137","1.802","34","1.453.971"
"2020","VERCELLI","EURO 0","3","8.412","454","13","0","1.685","0","0","0","3","2","10.572"
"2020","VERCELLI","EURO 1","0","1.870","106","1","0","406","0","0","0","0","0","2.383"
"2020","VERCELLI","EURO 2","0","6.172","310","15","0","1.788","0","0","0","0","0","8.285"
"2020","VERCELLI","EURO 3","0","6.473","225","24","0","6.236","0","0","0","0","1","12.959"
"2020","VERCELLI","EURO 4","0","15.112","2.655","213","0","12.293","0","16","0","10","1","30.300"
"2020","VERCELLI","EURO 5","0","7.838","1.881","137","0","12.653","0","90","8","24","0","22.631"
"2020","VERCELLI","EURO 6","0","13.106","2.782","95","0","14.214","0","1.650","80","72","0","31.999"
"2020","VERCELLI","NC","0","0","0","0","131","0","0","0","0","0","0","131"
"2020","VERCELLI","ND","0","50","2","0","0","1","0","0","0","0","0","53"
"2020","Totale Provincia","","3","59.033","8.415","498","131","49.276","0","1.756","88","109","4","119.313"
"2020","NOVARA","EURO 0","8","13.697","707","51","0","2.257","0","0","0","5","2","16.727"
"2020","NOVARA","EURO 1","0","3.363","230","17","0","571","0","0","0","0","0","4.181"
"2020","NOVARA","EURO 2","0","11.227","564","30","0","2.908","0","0","0","0","0","14.729"
"2020","NOVARA","EURO 3","0","12.957","379","46","0","11.444","0","0","0","2","0","24.828"
"2020","NOVARA","EURO 4","0","33.411","6.085","657","0","22.962","0","38","0","61","0","63.214"
"2020","NOVARA","EURO 5","0","18.126","4.052","595","0","25.378","0","342","16","115","0","48.624"
"2020","NOVARA","EURO 6","0","32.134","5.436","520","0","30.033","0","3.804","291","258","0","72.476"
"2020","NOVARA","NC","0","0","0","0","255","0","0","0","0","0","0","255"
"2020","NOVARA","ND","0","93","2","0","0","5","0","0","0","0","2","102"
"2020","Totale Provincia","","8","125.008","17.455","1.916","255","95.558","0","4.184","307","441","4","245.136"
"2020","CUNEO","EURO 0","10","25.054","1.581","40","0","4.207","0","0","0","1","4","30.897"
"2020","CUNEO","EURO 1","0","5.695","417","10","0","1.415","0","0","0","1","0","7.538"
"2020","CUNEO","EURO 2","0","19.401","1.000","21","0","8.278","0","0","0","0","0","28.700"
"2020","CUNEO","EURO 3","0","19.611","807","23","0","24.796","0","0","0","1","8","45.246"
"2020","CUNEO","EURO 4","1","45.577","9.131","485","0","53.149","0","38","0","22","3","108.406"
"2020","CUNEO","EURO 5","0","22.033","5.962","342","0","54.346","0","414","32","39","0","83.168"
"2020","CUNEO","EURO 6","0","41.345","10.014","265","0","59.470","0","4.926","430","155","0","116.605"
"2020","CUNEO","NC","0","0","0","0","473","0","0","0","0","0","0","473"
"2020","CUNEO","ND","0","64","1","0","0","0","0","0","0","0","1","66"
"2020","Totale Provincia","","11","178.780","28.913","1.186","473","205.661","0","5.378","462","219","16","421.099"
"2020","ASTI","EURO 0","1","10.437","646","64","0","1.685","0","0","0","1","2","12.836"
"2020","ASTI","EURO 1","0","2.723","197","13","0","556","0","0","0","0","0","3.489"
